Company Name,Sector,Revenue,Monthly Clients,Churn Rate (%),CAC,City,State,Contract Start,Plan Type
SuperCorp,TECHNOLOGY,126981,227,17.7,763,Seattle,WA,2025-04-15,Enterprise
PrimeWorks,healthcare,$ 58587,802,12.1,382,Phoenix,AZ,2024-01-24,Pro
MaxCorp,Food & Beverage,$ 374398,1876,23.6,111,Dallas,TX,2023-02-13,Pro
Trade Plus,Finance,363375,5000,19.8,576,San Diego,CA,2023-03-15,Pro
Eco Service,Technology,215325,1738,27.6,610,Phoenix,AZ,2024-04-21,Pro
GlobalHealth Lab,Finance,229622,3281,12.1,171,San Antonio,TX,2025-02-25,Basic
GlobalHub,Logistics,206728,3844,,596,Miami,FL,2022-11-24,Basic
Food Group,Healthcare,383584,2167,29.2,212,Denver,CO,2022-11-10,Enterprise
Global Move,Technology,$ 261170,2983,26.6,344,Dallas,TX,2023-01-08,Enterprise
AgroCorp,healthcare,293255,4332,26.4,463,Los Angeles,CA,2023-09-25,Enterprise
Beta Build,Food & Beverage,276358,2040,8.3,376,Seattle,WA,2022-10-18,Basic
Nova Express,TECHNOLOGY,455696,4221,8.7,715,Austin,TX,2025-04-18,Basic
UltraBlue Works,Retail,190753,3835,26.2,85,Seattle,WA,2022-01-13,Enterprise
UltraNet,CONSTRUCTION,151037,627,14.4,593,Philadelphia,PA,2022-01-21,Enterprise
SmartTec,Construction,458325,490,6.6,32,Miami,FL,2025-05-26,Pro
SuperBlue Lab,Education,308657,509,22.9,88,Phoenix,AZ,2022-10-16,Enterprise
Tech Fast  ,Retail,359005,3317,5.4,613,Atlanta,GA,2023-10-20,Basic
TopCore,Food & Beverage,112090,2583,8.7,435,Austin,TX,2023-11-21,Pro
Express Solutions,RETAIL,270229,2869,26.7,280,San Diego,CA,2024-05-06,Pro
  Open Cloud  ,Retail,75407,886,22.8,189,Miami,FL,2024-05-20,Basic
Capital Soft,Finance,$ 448602,3479,25.2,75,Seattle,WA,2022-06-25,Basic
Trade Way,Logistics,$ 63654,1231,17.3,408,Denver,CO,2023-07-05,Basic
Service Plus,Education,190429,3339,29.3,797,Phoenix,AZ,2023-04-28,Basic
Top Connect,Food & Beverage,220856,2042,9.5,748,Boston,MA,2022-07-28,Basic
UltraCapital Way,EDUCATION,213910,578,29.1,315,Miami,FL,2024-11-17,Pro
Connect Group,finance,$ 25057,3569,11.7,351,Denver,CO,2025-10-17,Basic
Alpha Service,Technology,427843,1624,12.2,101,San Antonio,TX,2024-10-11,Enterprise
BetaCloud,Logistics,370538,1052,7.4,710,Miami,FL,2025-11-24,Basic
Build Box,Finance,230385,4979,,506,Austin,TX,2025-08-22,Basic
PrimeExpress Data,FOOD & BEVERAGE,357738,1641,6.1,77,Dallas,TX,2023-08-20,Basic
InfoCapital Pro,EDUCATION,473010,883,23.8,254,San Diego,CA,2023-12-17,Pro
Digital Green,Construction,298037,3635,19.2,766,New York,NY,2025-09-15,Basic
BioHealth Tec,Finance,278311,1969,9.7,109,Seattle,WA,2024-04-09,Pro
GlobalLab,Healthcare,38674,2720,17.2,455,Philadelphia,PA,2022-04-27,Pro
InfoPro,Food & Beverage,209465,3442,17.1,782,San Antonio,TX,2023-08-08,Pro
NovaBuild Link,Logistics,445667,1055,29.5,,San Antonio,TX,2025-10-19,Enterprise
TopLab,healthcare,176627,2687,11.5,418,New York,NY,2024-07-09,Basic
SuperSystems,FOOD & BEVERAGE,414591,339,23.1,283,San Diego,CA,2023-01-20,Basic
Agro Vision,Education,139345,1384,19.0,795,Houston,TX,2022-03-10,Basic
BetaCore,Logistics,379873,4860,21.3,672,Austin,TX,2023-02-23,Pro
InfoSystems,Logistics,41153,2805,2.4,460,Miami,FL,2025-02-14,Pro
GlobalFinance Hub,Finance,487144,3970,15.0,778,Denver,CO,2024-06-28,Basic
AlphaWay,Construction,355323,245,15.8,362,Miami,FL,2023-08-07,Pro
Food Soft,Finance,275861,711,8.8,446,Boston,MA,2025-09-25,Basic
AgroGreen Solutions  ,Logistics,165540,3033,15.3,573,Seattle,WA,2024-07-24,Enterprise
Green Soft,EDUCATION,$ 170438,4399,28.6,736,Philadelphia,PA,2023-04-07,Enterprise
Easy Cloud,Retail,160318,1479,10.5,755,San Diego,CA,2023-05-02,Basic
Logic Point,Technology,251099,2801,7.2,82,Dallas,TX,2024-08-04,Basic
SmartEasy Systems,FINANCE,67102,3419,19.0,663,San Antonio,TX,2023-09-13,Pro
BetaEasy Works,Technology,$ 393019,1712,19.5,300,Atlanta,GA,2022-03-08,Basic
PrimeSolutions,Construction,126360,2326,21.7,494,Dallas,TX,2022-11-08,Pro
Top Vision,Healthcare,$ 438392,498,6.6,344,Boston,MA,2024-08-04,Pro
Build Soft,Construction,$ 318543,3549,22.6,648,Seattle,WA,2024-01-03,Basic
AlphaCore  ,Construction,236855,1496,29.9,476,Denver,CO,2025-02-16,Pro
Food Group,Food & Beverage,264768,3290,24.8,593,San Antonio,TX,2022-08-03,Pro
Vision Pro,Technology,289475,454,7.3,400,Phoenix,AZ,2025-11-15,Basic
Safe Lab,Construction,$ 259128,4997,24.4,756,Houston,TX,2023-05-18,Basic
SmartPower Group,Retail,85725,2400,16.2,,Dallas,TX,2025-08-08,Pro
Max Capital,Healthcare,149833,3409,11.5,549,Dallas,TX,2024-01-10,Enterprise
GlobalGreen Box,Food & Beverage,289913,2646,26.3,744,Phoenix,AZ,2023-10-13,Basic
TechFood Point,Logistics,352964,1256,15.9,67,Miami,FL,2023-09-19,Pro
BioGroup,CONSTRUCTION,219946,1274,4.1,301,Miami,FL,2024-10-23,Pro
EcoBox,Food & Beverage,470273,4442,3.0,,Denver,CO,2024-04-24,Basic
DigitalWay,Finance,29112,469,10.2,413,San Antonio,TX,2025-03-08,Enterprise
 Prime Trade ,Education,$ 310742,3787,19.9,500,San Antonio,TX,2024-11-01,Pro
  Safe Hub  ,Finance,227460,3752,25.7,233,Atlanta,GA,2025-08-04,Basic
Easy Data,finance,$ 148906,411,27.5,793,San Antonio,TX,2025-05-25,Basic
Power Net,Healthcare,478643,332,10.7,481,Austin,TX,2022-10-12,Enterprise
BetaLink,healthcare,283319,2242,25.3,293,Chicago,IL,2025-05-24,Pro
BioCorp,Education,384698,3265,29.1,600,Boston,MA,2024-02-26,Pro
Safe Group,Finance,436183,3053,5.0,,New York,NY,2022-10-18,Pro
Smart Green,Finance,$ 66171,314,10.5,534,Atlanta,GA,2022-02-08,Enterprise
BioMove Box,Healthcare,$ 348367,4018,19.2,316,Chicago,IL,2022-12-12,Basic
UltraMove Group,Food & Beverage,343074,3271,9.7,155,San Diego,CA,2025-02-22,Basic
TechLink,Healthcare,$ 112586,4550,7.8,251,Denver,CO,2023-06-25,Basic
AlphaLab,Finance,62633,221,5.7,396,Boston,MA,2023-10-11,Basic
Service Lab,Retail,254690,2975,16.4,141,Chicago,IL,2025-09-08,Enterprise
 Green Solutions ,Logistics,61603,3643,4.1,112,New York,NY,2024-10-05,Basic
Open Core,Food & Beverage,318205,3726,16.2,470,Chicago,IL,2022-12-04,Enterprise
Top Green,Logistics,242764,788,10.8,350,Denver,CO,2024-06-05,Enterprise
  SmartExpress Corp,Food & Beverage,$ 296698,4610,17.7,716,Atlanta,GA,2022-07-12,Enterprise
TechEdu Line,Retail,116536,3960,8.3,140,Boston,MA,2024-09-12,Basic
Easy Tec,Technology,349893,2200,2.8,309,Boston,MA,2024-06-12,Basic
  Info Build,Retail,117791,3726,11.5,408,Chicago,IL,2024-12-11,Enterprise
TechLab,Technology,147660,3483,15.6,482,Austin,TX,2025-05-07,Enterprise
Finance Group,Construction,$ 166700,3247,29.6,86,Los Angeles,CA,2022-04-10,Basic
Alpha Edu,Technology,230787,3124,16.9,265,Boston,MA,2024-02-13,Enterprise
NovaGreen Corp,Logistics,376981,2381,5.2,51,New York,NY,2024-03-26,Enterprise
Express Works,Education,214951,3252,26.4,793,San Diego,CA,2024-04-11,Basic
MultiCloud,Food & Beverage,434364,1219,8.6,179,Los Angeles,CA,2024-04-06,Enterprise
PrimePoint,Construction,467447,2657,26.2,672,Chicago,IL,2024-03-15,Basic
